geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract
Census Tract 202.10; Shelby County; Tennessee,5542,35.8,48962,5502,683,2737,62,2385,1291,1094,1273,118500,47,157,020210
Census Tract 202.21; Shelby County; Tennessee,2993,43.5,63145,2983,305,1340,75,1156,931,225,1107,239400,47,157,020221
Census Tract 202.22; Shelby County; Tennessee,2804,33.1,98406,2804,181,1481,6,981,790,191,1294,179800,47,157,020222
Census Tract 203.01; Shelby County; Tennessee,1456,50.4,101250,1456,25,799,99,549,491,58,1705,291200,47,157,020301
Census Tract 203.02; Shelby County; Tennessee,3196,32.9,39110,3079,1189,1249,81,1579,622,957,928,248300,47,157,020302
Census Tract 204; Shelby County; Tennessee,930,28.6,98125,828,23,194,8,276,0,276,1444,-666666666,47,157,020400
Census Tract 205.11; Shelby County; Tennessee,2315,38.6,87080,2309,220,1441,25,845,650,195,1357,152100,47,157,020511
Census Tract 205.21; Shelby County; Tennessee,3615,27.1,37342,3615,804,1093,42,1307,454,853,1296,95300,47,157,020521
Census Tract 205.23; Shelby County; Tennessee,3767,25.2,43182,3676,1441,1402,224,1174,226,948,1238,100400,47,157,020523
Census Tract 205.24; Shelby County; Tennessee,4416,37.3,54972,4416,818,2468,91,1617,903,714,1250,93100,47,157,020524
Census Tract 205.31; Shelby County; Tennessee,5398,28.1,55329,5385,1105,2381,50,1689,852,837,1600,153500,47,157,020531
Census Tract 205.32; Shelby County; Tennessee,5407,49.4,44833,5248,812,2224,119,2211,1076,1135,1287,152100,47,157,020532
Census Tract 205.41; Shelby County; Tennessee,4362,40.3,59911,4362,600,2538,105,1742,1155,587,1282,158700,47,157,020541
Census Tract 205.42; Shelby County; Tennessee,5229,26.7,43865,5229,796,2849,247,2156,439,1717,1048,186400,47,157,020542
Census Tract 205.43; Shelby County; Tennessee,3047,33.4,43013,3047,603,1433,57,1386,290,1096,1177,79100,47,157,020543
Census Tract 205.44; Shelby County; Tennessee,2885,30.4,33995,2854,801,1394,263,1154,364,790,953,204300,47,157,020544
Census Tract 206.10; Shelby County; Tennessee,4322,33.9,54764,4322,533,2409,164,1653,499,1154,1079,192300,47,157,020610
Census Tract 206.21; Shelby County; Tennessee,6997,30.9,50884,6997,469,4227,114,2930,1130,1800,1189,208100,47,157,020621
Census Tract 206.22; Shelby County; Tennessee,4996,37.2,63574,4663,310,2042,194,1532,1151,381,1359,240000,47,157,020622
Census Tract 206.32; Shelby County; Tennessee,5040,43.7,97515,4876,319,2318,219,1719,1514,205,2646,275400,47,157,020632
